text_a	label
Russians , rebels sign deal in Chechnya .	B-MISC O O O O O B-LOC O
Halftime 1-1 .	O O O
As a result of eco-terrorism we are looking at controversial jobs more closely to see if the profit margins are wide enough to cover things like extra security . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Surrey slipped to 88 for four in reply to Notts ' commanding first innings of 446 for nine declared at Trent Bridge , before Alistair Brown struck a 55-ball half-century .	B-ORG O O O O O O O O B-ORG O O O O O O O O O O B-LOC I-LOC O O B-PER I-PER O O O O O
Levy said seeking bankruptcy protection was not under consideration .	B-PER O O O O O O O O O
" He set up a propaganda cannon and fired it at Germany . "	O O O O O O O O O O O B-LOC O O
OTTAWA 1996-08-29	B-LOC O
5. Richard Kosgei ( Kenya ) 8:16.80	O B-PER I-PER O B-LOC O O
JERUSALEM 1996-08-22	B-LOC O
Overnight trade at the weekend left a surplus of 1.2 billion kuna on the supply side after 40 million were settled .	O O O O O O O O O O O O O O O O O O O O O O
4. Jarmo Kytolehto ( Finland ) Ford Escort 1:56	O B-PER I-PER O B-LOC O B-MISC I-MISC O
The referee could not have seen it or he would have punished him , " Gress said .	O O O O O O O O O O O O O O O B-PER O O
The hijackers , who have said they want to seek asylum in Britain , are believed to be armed with grenades and possibly other explosives , according to police .	O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O
Ruch Chorzow win 6-1 on aggregate	B-ORG I-ORG O O O O
-DOCSTART-	O
Samuel Graham , who told his family earlier that he was nervous about starting at a new school because he feared teasing about his weight problem , had been due to spend his first day at Parkway Middle School Monday , police said .	B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O
MOSCOW 1996-08-26	B-LOC O
" There has been a call for a general strike between one ( 1000 GMT ) and three o'clock , " Palestinian lawmaker Ahmed Hashem Zighayer told Reuters .	O O O O O O O O O O O O O O B-MISC O O O O O O B-MISC O B-PER I-PER I-PER O B-ORG O
I 'm not a supermodel you know , " he said .	O O O O O O O O O O O O
3. John Ridgeon ( Britain ) 49.83	O B-PER I-PER O B-LOC O O
Result of a Dutch first	O O O B-MISC O
" I asked for the opportunity to deliver this message from the podium of the Democrat National Convention .	O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O
-DOCSTART-	O
SATURDAY , AUGUST 24TH SCHEDULE	O O O O O
" We 'll be concentrating ... on supporting the president as he is on the trip and making significant public policy statements related to some of his plans for the future , " said White House Press Secretary Mike McCurry .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O O B-PER I-PER O
4. Den Bakker 7	O B-PER I-PER O
He said that there are an estimated 800 Polish nurses working in Libya .	O O O O O O O O B-MISC O O O B-LOC O
2. Fernanda Ribeiro ( Portugal ) 14:49.81	O B-PER I-PER O B-LOC O O
Toronto 1 CHICAGO 0 ( in 6 1/2 )	B-ORG O B-ORG O O O O O O
-DOCSTART-	O
Magali Faure ( France ) beat Kathrin Freitag ( Germany ) two	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
-DOCSTART-	O
IMERISIA	B-ORG
