text_a	label
Faulding said the claims in the lawsuit are without merit and will not impact upon the launch of Kadian in the United States .	B-ORG O O O O O O O O O O O O O O O O O B-MISC O O B-LOC I-LOC O
His bloody body was lying in the garden when his parents arrived in the afternoon to pick him up .	O O O O O O O O O O O O O O O O O O O O
Dundee United 3 0 1 2 1 3 1	B-ORG I-ORG O O O O O O O
Top prices in Iowa / southern Minnesota Tuesday were expected to range from mostly $ 59.50 to $ 60.00 , steady following a $ 0.50 - $ 1.50 jump Monday .	O O O B-LOC O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O
HONG KONG 1996-08-29	B-LOC I-LOC O
It was a perfect paint job except for one feather under a wing of one bird that was only half dyed , " Drew said .	O O O O O O O O O O O O O O O O O O O O O O O B-PER O O
DETROIT AT KANSAS CITY	B-ORG O B-LOC I-LOC
-DOCSTART-	O
6. Vassiliy Kaptyukh ( Belarus ) 61.80	O B-PER I-PER O B-LOC O O
Attendance 25,860 .	O O O
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .	O O O O B-MISC O O B-PER I-PER O O O O O O O O B-LOC I-LOC B-LOC O O B-LOC O O O B-LOC I-LOC O O
Queens Park Rangers 3 2 1 0 5 3 7	B-ORG I-ORG I-ORG O O O O O O O
According to U.N. officials and diplomats , Iraq would have about $ 1.13 billion to spend for food , medicine and other goods after monies for a reparations fund for Gulf War victims and costs for U.N. weapons inspections were deducted .	O O B-ORG O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O B-ORG O O O O O
" They want to drive you out of politics and they ca n't , " he added . "	O O O O O O O O O O O O O O O O O O O
This is the first generation of African Americans that really can express itself without fear and punishment , " Simon said .	O O O O O O B-MISC I-MISC O O O O O O O O O O O B-PER O O
" Obviously , under the Clinton administration , we 've seen two distinctively different dollar policies , " said Chris Widness , an international economist at Chase Securities Inc. " Under Rubin , the U.S. has certainly looked for a strong dollar . "	O O O O O B-PER O O O O O O O O O O O O O B-PER I-PER O O O O O B-ORG I-ORG I-ORG O O B-PER O O B-LOC O O O O O O O O O
SOCCER - BRAZILIAN CHAMPIONSHIP RESULTS .	O O B-MISC O O O
-- Keiron Henderson , Amsterdam Newsroom +31 20 504 5000	O B-PER I-PER O B-ORG I-ORG O O O O
Goals from Thomas Helmer and Juergen Klinsmann helped Bayern Munich to a 4-2 home win over Bayer Leverkusen on Wednesday and powered them to the top of the Bundesliga .	O O B-PER I-PER O B-PER I-PER O B-ORG I-ORG O O O O O O B-ORG I-ORG O O O O O O O O O O B-MISC O
12. Paul McGinley ( Ireland ) 208,978	O B-PER I-PER O B-LOC O O
3. Seguy 24	O B-PER O
Women 's 1,000 metres	O O O O
