text_a	label
St Helens completed their first league and Challenge Cup double in 30 years on Monday when they thrashed Warrington 66-14 to clinch the inaugural Super League title .	B-ORG I-ORG O O O O O B-MISC I-MISC O O O O O O O O O B-ORG O O O O O B-MISC I-MISC O O
The draft suggests further sanctions against those who impede a political solution .	O O O O O O O O O O O O O
McCurry said Chelsea has asked to go on the train trip and attend the convention where her father will be renominated , but said her exposure did not signal the start of a new political career .	B-PER O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-	O
Hijacked Sudan plane lands at a London airport .	O B-LOC O O O O B-LOC O O
VODNI STAVBY PRAHA 1915.00 1915.00 2000 3830.000	B-ORG I-ORG I-ORG O O O O
Reuters has not verified these stories and does not vouch for their accuracy .	B-ORG O O O O O O O O O O O O O
-DOCSTART-	O
M. Atherton c Inzamam-ul-Haq b Mushtaq Ahmed 43	B-PER I-PER O B-PER O B-PER I-PER O
Polish President Aleksander Kwasniewski and his Slovenian counterpart , Milan Kucan , met for talks at the start of a two-day visit to Slovenia by Kwasniewski .	B-MISC O B-PER I-PER O O B-MISC O O B-PER I-PER O O O O O O O O O O O O B-LOC O B-PER O
This tactical manoeuvre also shows that in the ruling circle there is no unity of action , " he said .	O O O O O O O O O O O O O O O O O O O O O
Women 's javelin :	O O O O
SOCCER - FIORENTINA WIN WITH BATISTUTA DOUBLE .	O O B-ORG O O B-PER O O
Hapoel Taibe fields four Jewish players and two foreign imports -- a Pole and a Romanian .	B-ORG I-ORG O O B-MISC O O O O O O O B-MISC O O B-MISC O
Spartak 1 Buducnost ( V ) 2	B-ORG O B-ORG I-ORG I-ORG I-ORG O
China , along with Britain , France , Russia and the United States , is a declared nuclear power .	B-LOC O O O B-LOC O B-LOC O B-LOC O O B-LOC I-LOC O O O O O O O
Christie belongs to them .	B-PER O O O O
" We plan to build a 10,000-seat stadium , but it may well be situated elsewhere , " said club chairman Abdul Rahman Haj Yihye . "	O O O O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER I-PER O O
-DOCSTART-	O
JERUSALEM 1996-08-27	B-LOC O
HONG KONG 1996-08-28	B-LOC I-LOC O
Traders said positive comment from investment banks Merrill Lynch and SBC Warburg also fueled the gains .	O O O O O O O B-ORG I-ORG O B-ORG I-ORG O O O O O
1. Verbjorn Rodal ( Norway ) 1:44.93	O B-PER I-PER O B-LOC O O
6,000 .	O O
OTTAWA 1996-08-23	B-LOC O
- Raphael Lakpe , publisher of the daily Le Populaire , was released on Wednesday evening after three days in custody and will appear in court on Thursday morning .	O B-PER I-PER O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O
" You know , we went through a little climb and a little trough over the last few years .	O O O O O O O O O O O O O O O O O O O O
NAC Breda 1 ( Abdellaoui 20th penalty ) NEC Nijmegen 1 ( Graef 36th ) .	B-ORG I-ORG O O B-PER O O O B-ORG I-ORG O O B-PER O O O
Attendance 25,000	O O
As with many commodities , " there is a desire ( by the Chinese government ) to keep a stockpile of the metal , " he said . "	O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O
TENNIS - GRAF WORKS HARD FOR FIRST-ROUND WIN .	O O B-PER O O O O O O
" Its not an accident .	O O O O O O
The hostages were held in a house in or near Grozny which was bombarded regularly .	O O O O O O O O O O B-LOC O O O O O
Ssangbangwool 58 2 47 .551 5 1/2	B-ORG O O O O O O
What the people expect is to have houses , to have jobs . "	O O O O O O O O O O O O O O
Sidhu was not considered for the four-nation Singer Cup beginning in Sri Lanka this month and the Sahara Cup against Pakistan scheduled to be played in Canada next month .	B-PER O O O O O O B-MISC I-MISC O O B-LOC I-LOC O O O O B-MISC I-MISC O B-LOC O O O O O B-LOC O O O
But analysts noted that Sierra still has much painful work ahead of it , including cutting as many as 150 jobs from its workforce , which currently has 500 people , and building up the business of its PMC-Sierra unit , which makes routing devices and chipsets for high-speed computer networks .	O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O
" My application this year has been strange , " Norman said . "	O O O O O O O O O O B-PER O O O
Dealers said the market seemed to be trading a range and would wait for more political polls to provide direction .	O O O O O O O O O O O O O O O O O O O O O
Moslems and Serbs have scuffled several times along the line in the past when Moslem refugees tried to surge into the town .	B-MISC O B-MISC O O O O O O O O O O O B-MISC O O O O O O O O
10. Pedro Lamy ( Portugal ) Minardi one lap	O B-PER I-PER O B-LOC O B-ORG O O
Group 2	O O
Thomas Gogele ( Germany ) 67 65 , Paul Broadhurst 62 70 ,	B-PER I-PER O B-LOC O O O O B-PER I-PER O O O
-DOCSTART-	O
Jan Buettner , managing director of AOL Germany , said AdOn was in the formation phase and would " get off the ground next year , bringing in advertising from around Europe . "	B-PER I-PER O O O O B-ORG I-ORG O O B-ORG O O O O O O O O O O O O O O O O O O O O B-LOC O O
After Brady Anderson sacrificed , Palmeiro hit the first pitch into right field for a single , scoring Alomar .	O B-PER I-PER O O B-PER O O O O O O O O O O O O B-PER O
The rain also severely hindered Belgian investigators ' excavations in the southern village of Jumet , where they are looking for bodies in one of the houses of the main character in a paedophile sex-and-murder scandal .	O O O O O B-MISC O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O
The key three-month rate was steady at 3.40 percent .	O O O O O O O O O O
Thailand 's powerful military thinks the government is dishonest and Prime Minister Banharn Silpa-archa 's resignation might solve the nation 's political and economic woes , an opinion poll showed on Thursday .	B-LOC O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O
Two-try winger Jeff Wilson said he was so tired that he kept asking Bunce where he should be while defending .	O O B-PER I-PER O O O O O O O O O B-PER O O O O O O O
Athens and Tirana signed an accord in May to legalise the status of Albanian immigrant workers , estimated at 350,000 , and remove a long-standing stumbling block in relations between the two Balkan neighbours .	B-LOC O B-LOC O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O B-LOC O O
The bases were loaded and I had two strikes .	O O O O O O O O O O
The statement said the U.S. government " would do all within its prevailing legal framework to prevent the use of American soil to perpetrate violence against the democratic government of Sri Lanka " .	O O O O B-LOC O O O O O O O O O O O O O O O B-MISC O O O O O O O O O B-LOC I-LOC O O
MOSCOW 1996-08-26	B-LOC O
At the moment this is not the case . "	O O O O O O O O O O
MILAN 1996-08-29	B-LOC O
I feel that we should have maybe just cancelled out the Monday , not show up today and start the tournament tomorrow . "	O O O O O O O O O O O O O O O O O O O O O O O O
Loznica 3 2 0 1 7 3 6	B-ORG O O O O O O O
It was softer in the morning due to relatively ample rupiah liquidity but recovered later .	O O O O O O O O O O O O O O O O
But Medvedev 's ranking slowly began to drop last year as he struggled with a wrist injury .	O B-PER O O O O O O O O O O O O O O O O
Arnaud Boetsch ( France ) beat Magnus Gustafsson ( Sweden ) 7-6 ( 8- 6 ) 6-3 6-1	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O
-DOCSTART-	O
